review,taste,quantity,delivery,total
잘먹었습니다ㅡㆍㆍㆍ,5,5,5,5
맛도 양도 너무 좋고 배달 빠른것도 참 좋은데 요청사항 좀 읽어주세요… 현관 비밀번호랑 같이 문 앞에 두고가라고 적어뒀는데………ㅠㅠ,5,5,1,3
맛있어요 자주시켜먹음,5,5,5,5
맛있게 잘먹었습니다~,5,5,5,5
맛있었어요 감사합니다,5,5,5,5
양 정말 많고 배달 빠르고 무료라 좋네요,5,5,5,5
맛있어요 :-) 감사합니다.,5,5,5,5
맛있고 배달 빠릅니다.,5,5,5,5
해장으로 짬뽕!! 역시 꿀맛이군요,5,5,5,5
너무맛있어요 잘먹었습니다,5,5,5,5
역시 맛잇어요ㅎㅎㅎㅎ,5,5,5,5
오늘도 잘 먹었습니다~,5,5,5,5
다음번에 사이다 2개 가져다 주신다고 하셨어요 ㅜㅜ 안가져다 주셔서 맛음 항상 좋아요 ㅎㅎ,5,5,5,5
중식은 항상 차이니스에서 시켜먹어요 너무너무 맛있게 잘먹었습니다♡♡,5,5,5,5
예전이랑 다르게 탕수육이 완전 딱딱해져서 먹는데 입천장 다 까졌어욮 ㅠㅠ 예전엔 찹쌀 탕수육 같앗는데 그때가 그립네요..,2,4,5,3
맛있어요 많이파세용,5,5,5,5
오늘도 자알 먹었습니다 ㅎㅎ,5,5,5,5
ㅎㅎㅎㅎ항상 맛있어요 볶음밥은 첨인데 넘ㅈ마시써요,5,5,5,5
짬뽕 탕수육은 여기가 근본임니다,5,5,5,5
짜장면 진짜맛있어요 ㄷㄷ,5,5,5,5
중국음식 먹고 싶을때 차이니스만 이용.. 매번 변하지 않는 맛과 양 빠른배달까지 너무 만족합니다^^,5,5,5,5
공릉 중국집 1등임 리얼루,5,5,5,5
배달엉청 빠르고 음식도 맛있어요,5,5,5,5
일주일에 한 두번은 꼭 시킴,5,5,5,5
맛있게 늘 잘먹고있습니다 ㅋ,5,5,5,5
맛있게 먹었어요. 자주 애용할게요,5,5,5,5
맛있었어요. 사진찍을새도 없이 먹어버렸네요 ㅠ,5,5,5,5
굳 맛나고 가성비 좋아야,5,5,5,5
굿 맛있어요 ㅅㅅㅅㅅㅅ,5,5,5,5
뭐 늘 맛있게 먹고있습니다 감사합니다,5,5,5,5
맛과 배달 양 모두 만족해요 감사합니다,5,5,5,5
너무 맛있습니다🥺 요청사항 잘 들어주셔서 고맙습니다🥺 최고의 밥집⭐️⭐️⭐️⭐️⭐️,5,5,5,5
저렴하고 양많아요 최고,5,5,5,5
6퐁비짱맛 ㅠㅠㅠ 리유저블 은 다 떨어졌군요,5,5,5,5
사장님 너무 맛있어요 다 먹고 찍어서 죄송해요 ㅠㅠ,5,5,5,5
너무 맛있어서 또 시켰어요!! 육회 많아서 너무 좋아요!,5,5,5,5
맛있네용 굳굳~~!!!~~,5,5,5,5
육회 진짜 많다... 밥이랑 먹는데 밥이 먼저 사라지지 뭐예요. 맛있게 잘 먹었습니다,5,5,5,5
1 . 맛을 그럭저럭 먹을만했고 2 . 양은 생각보다 적었습니다. 3 . 배달도 1시간 걸려서 적당했습니다. 감사합니다. 잘 먹었습니다.,2,2,2,2
맛나게 잘 뭇슴당~ ㅎ 육'퐁'비말고 육'풍'비로(풍덩&풍성) 하시는게 팩트 아닐까 싶어요ㅋㅋ 언제나 옳다!,5,5,5,5
육회먹고파서 후기보고 주문했는데 싱거운게 싫어서 양념추가해달라고 했는데 따로 보내준 양념말고 기존육회양념에도 더한건지 제입맛에 짜서 기대보단 아쉬웠습니다. 아이가 주문한 우삼겹간장은 맛있게 잘먹었고요.,4,5,4,4
그냥 시켰는데 진짜 맛있었어요 국도 맛있고 우거지비빔밥도 맛있고,5,5,5,5
만원ㄴ에 배달비없는데 이정도면 오점받아도됌,5,5,5,5
살코기보다 뼈가 더 부드럽네요ㅠㅠ,3,5,5,4
너무 맛있어요 양도 엄청 많아요 고기가 너무 부드러워요,5,5,5,5
배달빠르고 맛있게 잘 먹었습니다,5,5,5,5
최고입니다 맛도 양도 아주만족!,5,5,5,5
여태껏 먹었던 육회비빔밥 중 최고입니다.,5,5,5,5
비빔밥 너무 맛있어요!!! 잘먹었습니다,5,5,5,5
홍합이 들어가서 맛있네용~~!!,5,5,5,5
여긴 항상 맛있어요 굿굿!,5,5,5,5
육회가 신선하고 맛있어요 계란찜은 다른 곳에서 최소 3000원에 판매할 것 같은 퀄리리 + 양이에요,5,5,5,5
찾았다 맛집…!!! 음식도 다 맛있고 양도 많아요!!,5,5,5,5
너무 많은걸 바라지도 않는다 이정도만 해도 5점 주는데 왜 다른음식점들은 5점을 못받을까,5,5,5,5
첫주문이었는데 아주 맛있게 잘 먹었습니다! 간도 적당하고 육회양도 좋아요 다음번에 다른메뉴도 주문해보겠습니다,5,5,5,5
너무너무 맛있어요ㅠㅜㅜ최고입니당!!!👍🏻👍🏻👍🏻육회비빔밥은 여기에서만 시켜요!!! 요청사항도 넘 들어주시고 계란후라이까지...!ㅠㅠ감동이에요ㅠㅠㅜ잘챙겨주셔서 감사합니당>_< ❤️❤️❤️ 육회퐁당이랑 육회폭탄비빔밥이랑 둘다 맛있어서 맨날 고민돼요 ㅎㅎㅎㅎ번갈아가며 먹어야겠어요!!ㅋㅋㅋㅋ,5,5,5,5
처음 시켰어요. 밥과 거석이 분리된 포장으로 눅눅해지지 않았어요. 계란찜도 된장국도 꿀조합이네요. 다음엔 가족들과 함께 많이많이 시켜 먹을게요. 밥만 조금 넉넉히 주시면 퍼펙트일 것 같아요. 퍼펙트한 그 날을 위해 오늘부터 갬동단골 1일~~~ ^^,5,5,5,5
육회도 많고 양념장도 맛있었어요 한입계란찜인데 양도 많아서 다섯입은 돼요,5,5,5,5
너무맛있어요 먹다가사진못찍었어요,5,5,5,5
맛있는 음식 배달 해주셔서 감사합니다,5,5,5,5
항상 너무 맛있게 먹구 있습니다 대체할 곳이 없어요 !,5,5,5,5
빠른배달과 맛있는 비빔밥 넘 최고였어요 ㅎ 특히 된장국 레시피가 궁금하네요 오랜만에 저렴하면서 든든하게 먹을 수 있었던 밥!!! 💪🏻💪🏻,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
맛있어요~소스 넉넉히 부탁드렸는데.. 아예 두통을..주셨네요.. 감사합니다.,4,4,4,4
오늘 처음 시켜먹는데 맛도 있고 양도 괜찮고 좋네요 잘먹엇습니다.,5,5,5,5
정말 맛있게 잘먹었습니다,5,5,5,5
맛있게 잘 먹었습니다~~,5,5,5,5
포장도 깔끔하고 너무 맛있어요,5,5,5,5
맛있어요,5,5,5,5
맛나게 잘 먹었네요,5,5,3,4
살이 부드럽고 발라내기 편해서 맜있게 먹었어요. 포장이 깔끔해서 좋아요.,5,5,5,5
저번에 육회비빔밥 먹어보고 육회덮밥 시켜봤는데 요번에도 너무 맛있게 잘먹었어요!! 육회가 많아서 너무 좋았어요! 담에 또시켜먹을게요!!,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
우삼겹 맛있네요 ㅎㅎ,5,5,5,5
맛있어서 자주먹어요,5,5,5,5
배달도 빨리오고 맛있어요,5,5,5,5
밥차려먹기귀찮으면 시켜먹어요 ㅜㅜ 감사합니다,5,5,5,5
맛있어요 잘 먹었습니다,5,5,5,5
맛있어요 양도 짱많고.. 다른리뷰에서 많이봤엇는데 밥이 진짜 한라산만하네요 삼삼하긴한데 깍두기랑 먹으면 맛있어요. 다음엔 다른 메뉴들도 시켜볼게요호오,5,5,5,5
일단 배달비 무료라서 여길 픽했는데 그런데 왠걸 배달도 예정보다 빨리오시고 비빔장 부어서 먹을려고 하다가 계란후라이랑 밥이 밑에 있는걸 발견하고 너무 감동했어요 계란까지ㅠㅠㅠ 참기름도 맨아래 부어져 있는거 같았고 비벼먹었더니 너무 고소하고 맛있었습니다!! 된장국 한입먹었는데 구수한맛에 조금이지만 차돌박이까지?!? 들어가있더라고요ㅎㅎㅎ 이가격에 이런 퀄리티에 배달비 무료에 진짜 잔사 잘되셨으면 좋겠어요 요즘 배달비 비싸서 잘 안시켜먹는데 이렇게 맛있는 육회비빔밥을 먹게해주셔서 너무 감사해요!!! 사장님~ 앞으로 꽃길만 걸으세요🌸,5,5,5,5
너무 맛있고 육회 양도 많아서 만족스러웠습니다! 다음에 또 주문하겠습니다 ㅎㅎㅎ,5,5,5,5
저번에 비회원으로 시켰다가 너무 맛있어서 회원가입하고 또 시켜먹네요! 여기 육회덮밥 진짜 맛있어요 ㅠㅠㅠ 육회는 여기로 정착해야 되겠어요ㅋㅋㅋㅋ! 배달도 항상 친절하시고 양도 많습니다🙈,5,5,5,5
이 구역 최고의 밥집입니다! 배달 맛 센스 모두 무슨일이에요! 게다가 밥 용기까지! 설거지하기 너무 편해요☺️ 다음에 또 만나요 육퐁비~~~,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
육회먹고싶다하면 육회퐁당비빔밥에서 시켜먹어요. 짱맛,5,5,5,5
"사진도 찍어놓고 리뷰를 안쓸뻔,, 시킨지 하루지난 저녁에 먹었는데도 맛있고 양도 좋았어요. 다음엔 또 뭐먹지😬",5,5,5,5
고기가 너무 딱딱해서 조금먹다가 버렸어요 ㅠㅠ 너무 맛이..,5,5,5,5
잘 먹었습니다 ㅎㅅㅎ,5,5,5,5
엄청 맛있고 양도 많아요,5,5,5,5
가격도 착하고 맛도 좋아요 배달은 너무 심하게 빨라서 당황 ㅎㅎ 집근처에 맛집이 있어서 좋네요ㅎㅎ 찜 목록 추가했어요,5,5,5,5
자주 이용 하고 서비스좋아요,5,5,5,5
양도 많고 배달도 빨라여 굿굿~,5,5,5,5
진짜 이번주에만 3번은 먹었어요! 배달음식 싫어하시는 부모님도 육퐁비는 허락해주십니다!!,5,5,5,5
갑자기 밥 용기가 리유저블로 바껴서 설거지해서 잘 쓰고있어요,5,5,5,5
맛있게 잘 먹었습니다.^^,5,5,5,5
그냥 후.. 그냥 맛있고 양도 좋구.. 그냥 좋고..,5,5,5,5
맛있었어요 밥 양이 많아서 좋아요,4,5,5,4
"너무 맛있었어요 육회도 많이 들어있고요, 배송비도 없고 착한 맛집인 것 같아요 !",5,5,5,5
진짜 맛있어요!!!!!! 양이 조금 적은 느낌이긴한데 그래도 배달비도 무료고 완전 가성비👍,5,4,4,4
고기도 많고 맛있어요!!! 잘먹었습니다,5,5,5,5
"저 원래 리뷰 잘 안남기는데 진짜 감동받아서 올려요ㅠㅠ 너무너무 맛있어요! 육회 비빔밥에 이 가격, 이 양으로 주는 곳 못 봤습니다 또 시켜먹을게요!! 배달비도 무료고... 너무 맛있어요",5,5,5,5
저렴하고 양도 많네요~맛있게 잘먹었어요~,5,5,5,5
뒤늦게야 리뷰 씁니다 사장님... 배달비 없는거에 정말 큰 감동을 느꼈습니다. 요즘같이 장사하기 힘든 시기에 고생하십니다. 대박 나시길 빌겠습니다.,5,5,5,5
처음 시켜봤는데 맛있구 양두 많고 좋아요,5,5,5,5
요청사항도 잘 들어주시고 배달도 친절하게 해주셔서 맛있게 잘 먹었습니다! 많이 파세요 ㅎㅎ,5,5,5,5
퐁비퐁비육퐁비 최고 육회집,5,5,5,5
맛있어요!! 또 먹시켜먹을듯해요!!,5,5,5,5
오늘도 맛있게 잘 먹었습니다~👍,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
육퐁비 요기요 최고맛집 인정,5,5,5,5
너무너무 맛있어요.,5,5,5,5
맛있어요ㅎㅎ 양많고 한끼뚝딱,5,5,5,5
양도 많고 맛있어요 ㅎㅎ,5,5,5,5
한번 먹어보고 다음날 바로 또 시켜먹었네요 맛이며 양이며 가격이며 진짜 최고입니다,5,5,5,5
리얼 육회 전문점 맛집 그 자체 고추장특별함,5,5,5,5
든든한 식사에 딱이네요! 단골할게요^^ 더욱 번창하세요!!,5,5,5,5
육회 양 많아서 좋았습니다,5,5,5,5
배달도 빠르고 맛있었습니다,5,4,5,4
양 많구 맛있어요! 야채도 항상 싱싱,5,5,5,5
"""쫀맛탱""!!!!!!!!!!!!!! 주기적으로 생각나는 육회비빔밥 배달비 부담도 없어서 더 자주 시켜먹게 됩니다! (같이 주시는 된장국?찌개? 너무 맛있어요... 👍🏻)",5,5,5,5
맛있네요 육회가 많아 인상적,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
순식간에 뚝닥 비웠네요 맛있어요 자주 시켜 먹을듯요,5,5,5,5
항상 너무너무너무 맛있게 잘먹고 있습니다. 가게 찜도 완료. 계란 찜도 항상 옳은 선택!,5,5,5,5
양도 푸짐하고 맛있는데 배달비도 무료라니! 담에 또 시킬게요,5,5,5,5
맛있게 잘 먹었습니다👍🏼 다음에 또 이용하겠습니다~~!,5,5,5,5
이것저것 다양하게 팔길래 맛기대없이 시켰는데 생각외로 맛있네요 다음에 또시킬게요,5,4,4,4
맛있고 양도 넉넉해서 좋아요~,5,5,5,5
너무너무 맛있어요 진짜 양도 많고 제가 먹어본 육회 비빔밥 중 원탑인듯..👍🏻 한번 먹고 너무 맛있어서 그다음날도 또 시켜먹었습니다 ㅋㅋ 다들 이거 꼭 드세요,5,5,5,5
완전맛있게먹었어요~,5,5,5,5
다 맛있었어요! 잘먹었습니다~,5,5,5,5
순한맛도 좀 맵긴한데 맛있어요~^^,5,5,5,5
푸짐하고 맛도 괜찮았어요 !,5,5,5,5
배달도 엄청 빠르고 양도 많고 매콤하니 너무 맛나요!!,5,5,5,5
맛있어요 배달도 빠르고요,5,5,5,5
맛있어요 점심에 곱창을 먹을수 있다니~,5,5,5,5
기존에 배달시켜먹던 가게가 휴무일이라 처음으로 시켜봤어요 :) 거리가 멀어 배달이 늦은건 괜찮았지만 배달 예정시간으로 정해둔것보다 훨씬 늦게 도착하여 면발이 퉁퉁 불고 뻑뻑해서 먹기 힘들었어요.. 하지만 또 그런거에 비해 맛은 있어서 다행입니다 ^^,4,5,3,4
맛있게 먹었습니다!!,5,5,5,5
맛있게 먹었습니다!!,5,5,5,5
맛있게 먹었습니다!!,5,5,5,5
이 시간에 배달이 되는게 너무 감동적이네요! 맛도 좋아요!,5,5,5,5
맛있어요 잘먹을게요,5,5,5,5
맛있어요 근데 떡주지 말라고 했는데 다음엔 떡 빼주세용 오늘도 역시 냄새없고 맛나요!,5,5,5,5
김치찌개는 맛잇어요~~기본(신라면정도)로 시켰는데 맵찔이한테는 맵네요ㅋㅋ담엔 덜맵게로 시켜야겠네요~~,5,5,5,5
다 맛있었어요! 잘먹었습니다~,5,5,5,5
순한맛도 좀 맵긴한데 맛있어요~^^,5,5,5,5
푸짐하고 맛도 괜찮았어요 !,5,5,5,5
배달도 엄청 빠르고 양도 많고 매콤하니 너무 맛나요!!,5,5,5,5
맛있어요 배달도 빠르고요,5,5,5,5
맛있어요 점심에 곱창을 먹을수 있다니~,5,5,5,5
기존에 배달시켜먹던 가게가 휴무일이라 처음으로 시켜봤어요 :) 거리가 멀어 배달이 늦은건 괜찮았지만 배달 예정시간으로 정해둔것보다 훨씬 늦게 도착하여 면발이 퉁퉁 불고 뻑뻑해서 먹기 힘들었어요.. 하지만 또 그런거에 비해 맛은 있어서 다행입니다 ^^,4,5,3,4
맛있게 먹었습니다!!,5,5,5,5
맛있게 먹었습니다!!,5,5,5,5
맛있게 먹었습니다!!,5,5,5,5
이 시간에 배달이 되는게 너무 감동적이네요! 맛도 좋아요!,5,5,5,5
맛있어요 잘먹을게요,5,5,5,5
맛있어요 근데 떡주지 말라고 했는데 다음엔 떡 빼주세용 오늘도 역시 냄새없고 맛나요!,5,5,5,5
배달이 진짜 빨랐어요!!! 맛있게 잘먹었습니다 :),5,5,5,5
피넛버터스태커 배불러요 ~ 치즈스틱이 제일 맛있어요 ~,5,5,5,5
배달은 오래 걸렸지만 기다린 만큼 맛있게 먹었네요,4,4,4,4
할인행사로 자주 애용중입니다,5,5,5,5
맛있덩용 늦을 줄 알았는데 일찍 와서 다행이에옹,5,5,5,5
땅콩 좋아하면 추천,5,5,5,5
어제도먹고 오늘도 먹고 행사가 있어서 저렴히 잘 먹고 있습니다 감사합니다,5,5,5,5
맛있게 잘 먹었습니다~,5,5,5,5
배달도 빠로고 맛있어요!!,5,5,5,5
맛있게 잘 먹었어요,5,5,5,5
너무맛있게 잘먹었습니다!,5,5,5,5
맛있게 잘 먹었습니다 배송도 예정시간보다 빨리 와서 좋았어요,5,5,5,5
배달이 개빠르더라고요,5,5,5,5
빠르게잘도착햇어요.,5,5,5,5
항상맛있게먹고있습니다,5,5,5,5
맛잇게 잘먹었습니다,5,5,5,5
콜라가 좀 녹아있어서 아쉬웠음 그거빼곤 좋았음,5,4,4,4
빠른배송 감사합니다 잘먹었습니다,5,5,5,5
맛은 역쉬!버거킹 이예요~맛있게 먹었습니다~,5,5,5,5
맨날 먹던거 하나를 바꿨는데 괜히 바꿨네요 ㅎㅎ 그래도 평타. 배달속도는 예전하고 완전틀리게 굳배송^^ 종종 시켜 먹는데 좋아요,4,5,5,4
good。,5,5,5,5
👍👍👍👍👍👍👍👍👍👍,5,5,5,5
굿입니다요~!~!~!~!,5,5,5,5
토요일 점심으로 주문한건데 배달도 빠르고 맛있었습니다,5,5,5,5
자주 찾는 맛있는 버거집인데 처음배달 인데 시간은 좀 걸렀지만. 맛은 변함없네요 맛있게 잘먹었어요,5,5,5,5
"배달 잘 받았고, 맛있게 잘 먹었습니다",3,3,3,3
맛있어요~~~~~~~~+,5,5,5,5
아들램 예전하고 맛이 틀리다며 ㅠㅠㅠ 전 맛있어요,4,5,5,4
언제나 맛있게 먹어요 가끔씩 기억나네요,5,5,5,5
맛잏어요 잘먹었습니다 감사합니다,5,5,5,5
맛있어여!!!!!!,5,5,5,5
#식후감 버거킹은 안정적인 맛이 있음,5,5,5,5
맛있게 잘먹었어요 ㅎㅎ,5,5,5,5
배달 빠르고 맛있어요~~,5,5,5,5
맛있게 잘 먹었습니다.......,5,5,5,5
양이 많아요 ㅎㅎㅎㅎ,4,5,5,4
맛익게 잘먹었스1지다,5,5,5,5
통새우와퍼 말해뭐해.. 최곱니다 근데 새우 추가도 되나요,5,5,5,5
맛있게 먹었습니다~,5,4,5,4
맛잇러요맛잇어요맛잇어요,5,5,5,5
맛있습니다^~^..,5,5,1,3
항상맛있게 먹고있어요~,5,5,5,5
맛있게 잘 먹었습니다.,5,5,5,5
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,5,5,5,5
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,5,5,5,5
항상 잘먹고 있습니다 많이파세요,5,5,5,5
치즈버거 최애!!!,5,5,5,5
루피 새우버거 맛있네요! 배달도 빠르게 와서 맛있게 먹었습니당 :),5,5,5,5
배달도 빠르고 맛있어요!!!,5,5,5,5
치즈프라이 양이 적은 거 같아요..,4,2,5,3
잘먹었습니다 다음에 또올게요,5,5,5,5
70분을 빙빙 돌다왔나 다식었네,1,1,1,1
"콜라는 우리집 주손데, 햄버거는 다른 곳... 어찌어찌 잘 해결되어서 잘 먹었습니다.",5,5,5,5
맛있습니다 추천해요,5,5,5,5
할인으로 잘먹었습니다.,5,5,5,5
배달 항상 빨리와서 좋아요,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
맛있습니다 소스가 좀 흘러서 왔네요,5,5,4,4
배달빠르고 맛있어요,5,5,5,5
배달 빠르고 맛있어요,5,5,5,5
예상보다 배달 빨리 왔어요,5,5,5,5
햄버거는 늘 좋으나 오늘 배달이 엉망이네요 예상시간까지 안와서 더 기다렸더니 알림이나 문자도 없이 그냥 문앞에 두고 갔네요 다 식어서 차가운 햄버거를 1시간 40분만에 받아먹음,4,4,1,3
배달빠르고 맛있어요,5,5,5,5
맛있게 잘먹었습니다:),5,5,5,5
항상 맛있어욤 ㅎㅎ,5,5,5,5
빠른배송 기막힌 맛!!@@,5,5,5,5
맛있게 잘 먹었습니다. 감튀가 눅눅 찐감자같아서 슬프네요 ㅠㅠ,5,5,5,5
맛나용~~~~~~~,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
빠른 배달로 맛나게 먹었네요,5,5,5,5
빠른 배달로 잘 먹었습니다,5,5,5,5
주말이라 배달시간이 많이 걸렸지만 맛있게 잘 먹었어요.,5,5,5,5
2시간 걸려서 왔는데 얼음은 다녹고 탄산은 하나도 없네요 좀 너무한것같습니다,3,5,1,3
감사합니다^^^^^,5,5,5,5
맛있게 잘 먹었습니다!,5,5,5,5
치즈프라이에 치즈양이 정말 적어요 버거는 다 찌그러져서 왔고 버거 안에 양상추가 사진처럼 통으로 하나 들어있네요 토마토도 한쪽에 몰려있구요 콜라는 얼음이 다녹아서 정말 싱거웠어요,3,2,4,3
배달좋고 맛있게 잘먹었습니다,5,5,5,5
감자튀김 너겟은 좋았는데 햄버거는 야채가 너무 부실했어요ㅜㅜ,5,5,5,5
감튀 바삭하고 햄버거도 맛있어요,5,5,5,5
새우 살이 통통하고 맛있음,5,5,5,5
맛있게 먹었습니다.,5,5,5,5
버거킹 bk 러브 좋아요,5,5,5,5
엘리베이터 있다고 알려줬는데도 못올라간다며 1층 내려와서 받아가라함ㅡㅡ다른 배달원들은 잘만오는데 지만 못온다니 어이없음,2,2,1,1
맛있었습니다 .. ..,5,5,5,5
맛있게 잘 먹었습니다 ㅎㅎ,5,5,5,5
맛있고 편리해서 좋아요,5,5,5,5
배달빠르고 맛있어요,5,5,5,5
맛있게 먹었습니다 ~!,5,5,4,4
"배달 잘 받았고, 맛있게 잘 먹었습니다",3,3,3,3
맛있게 먹었습니다^^,5,5,5,5
맛있었어요 ㅋㅋ,5,5,2,4
맛있게 잘 먹었어요,5,5,5,5
버거킹 배달 빠르고 맛있어요,5,5,5,5
맛있어요 그래서 또시켜먹음,5,5,5,5
늦게 올줄 알았는데 빨리왔어요 감튀가 눅눅하고 콜라 김이 다 빠졌는데 햄버거가 맛있어요!!,5,5,5,5
배달도 빠르고 맛은 뭐 말할 필요도 없죠 잘먹었어요,5,5,5,5
