review,taste,quantity,delivery,total
"잘 먹었습니다 다만 국수는 덜 짜고, 덜 시고, 덜 달았으면 좋겠고 비빔밥은 야채가 좀 부실해서 아쉽네요",5,5,5,5
맛있게 잘 먹었습니다!! 배달도 빨리 왔어요!,5,5,5,5
잘먹었습니다 근데 짬뽕밥 국물이 좀 밋밋하네요 그래도 맛나게 잘먹었습니다 ^~^,5,5,5,5
goooooooood,5,5,5,5
맛있게 잘 먹었어요~ 이제 반찬은 안 주시나 보네요~ 예전에는 반찬도 챙겨 주셔서 좋았는데ㅠ,5,5,5,5
맛있어요 잘 먹었습니다,5,5,5,5
맛있게 잘먹었읍니다.,5,4,5,4
지인분 놀러와서 시켜드렸더니 맛집에 맛집이라 칭찬해주심ㅎ 잘먹었어요~ #식후감,5,5,5,5
맛있게 잘 먹었습니다.,5,5,5,5
여기김밥은 정말 맛있어요. 그런데 라볶이에 어묵이 너무 많아요. 떡이랑 라면사리가 많을 걸 기대하고 시키는건데 어묵만 왜이리많은지 놀랐답니다.,4,5,5,4
맛나게 잘먹었습니다 감사합니다,3,2,4,3
맛있게 잘먹었습니다~,5,5,5,5
다 불어서 왔네요 ㅠ 거리가 있었던걸까요.. 그래도 간이나 이런건 제 입맛에 맞았어요! 잘 먹었습니다!,5,5,4,4
언제나 먹어도 맛있어요 오늘은 비닐 제거도 안하고 찍었네요 그래도 맛있어요^~^,5,5,5,5
맞나게 잘먹엇네요~,5,5,5,5
맛있게 잘 먹었습니다. 오늘은 반찬을 안 주셨네ㅠ 좋았는데ㅎㅎ;;,5,5,5,5
배달 빠르고 좋아요,5,5,5,5
된장찌개 재료가 없었던걸까요ㅠㅠ 두부4개랑 국물가득ㅠㅠ 김치찌개는 완전 맛있었는데ㅠㅠ #식후감,4,4,5,4
맛나게 잘 먹었습니다,5,5,5,5
맛있게 잘먹었습니다.,5,5,5,5
맛있게잘먹었습니다😘😘,5,5,5,5
넘 맛있네요....,5,5,5,5
아침이 해결되었어요 맛있게 잘 먹었습니다.,5,5,5,5
아주 맛나게 잘 먹었습니다,5,5,5,5
반찬이 1인분치도 안되요 너무 적어요 누가 먹다 남긴거 포장한줄 알았어요 그거 빼곤 괜찮아요 잘 먹었습니다,5,5,5,5
쫄면은 김밥천국이 존맛탱 고민할 필요가없어요,5,5,5,5
여기는 진짜 맛있어요,5,5,5,5
배달도 빨리 오고 맛있었어요!,5,5,5,5
맛있게 잘 먹었습니다.,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
맛은있는데 조금 단거같습니다,4,5,5,4
맛나게 잘먹었습니다 항상 감사합니다 ^~^,5,5,5,5
맛 무난했어요~~잘먹었어요,4,5,5,4
드디어 마음에 드는 김천을 찾았다,5,5,5,5
♡♡♡♡♡♡♡♡♡♡,5,5,5,5
목요일은 일찍 닫으신듯😭😭 금일 마치자마자 후다닥! 잘먹었습니다~ #식후감,5,5,5,5
재택근무할때마다 시켜먹는곳 맛있어요,5,5,5,5
오 맛있어용 ㅠㅠㅠㅠ,5,5,5,5
너무맛잇어서또재구매햇어요,5,5,5,5
잔치국수 괜찮았어요 근데 야채김밥이 재료도 부실한데 3천원은 넘 비싼 감이 있어요,4,4,5,4
맛잇게잘먹엇습니다 ㄱ,5,5,5,5
맛있습니다! 잘먹었습니다!! 다음에 주문할게요,5,5,5,5
배달 빨라요!ㅋㅋ 일주일에 3번이상 시키는듯! 잘먹었습니다~~~ #식후감,5,5,5,5
맛있눈 계란 김밥 아침대용으로 딱이네야,5,5,4,4
맛잇게 잘 먹었어요,5,5,5,5
비빔국수는 맵찔이가 먹기엔 좀 매웠지만 두개 다 맛있게 잘먹었습니다!!,5,5,5,5
"재주문했어요, 다들 맛있다고 난리네요ㅎㅎ 잘먹었습니다! #식후감",5,5,5,5
사장님 비빔국수 미쳣어용 최공,5,5,5,5
항상 맛있네요^~^,5,5,5,5
맛있게 잘먹었습니다. 돈까스정말 부드럽고 소스도 맛있었어요!,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
맛있게 잘먹었습니다!,5,5,5,5
세줄시켰는데 한줄이 참치양이 너무 적네요.. 그래도 맛있게 먹었습니다,5,4,5,4
같은 김밥천국끼리도 맛이 조금씩 다르네요.,2,4,4,3
맛있었어요~~~~~~,5,5,5,5
맛있어요,5,5,5,5
맛있었어용~~~!!,5,4,5,4
다먹고 치우고나서 생각난 리뷰쓰기😭😭 배달시간은 오래안걸리구요~ 진짜 다 맛있어요!,5,5,5,5
다 먹고 순찌만 남았네요! 맛있게 잘 먹었어요,5,5,5,5
맛있게 잘 먹었습니다. 반찬도 맛있어요~~~,5,5,5,5
포장도 깔끔하고 맛있습니다~,5,5,5,5
잘 먹었습니다 든든합니다^^,5,5,5,5
쫄면 먹고싶을때 그냥 시키게되요 완전 맛있어요,5,5,5,5
2번째주문 라뽁이는 김천이지~,5,5,5,5
맛있고 양도많고 배달도 빨라요,5,5,5,5
잘먹었습니다~ 오자마자 먹느라 정신없네요ㅎ ㅎ,5,5,5,5
맛있어요 잘 먹었습니다,5,5,5,5
♡♡♡♡♡♡♡♡♡♡,5,5,5,5
맛있게 잘 먹었습니다.,5,5,5,5
쫄면 참치김밥 맛나요 굿👍,5,5,5,5
"일단 처음에 3인분을 시켰는데 단무지가 단 3개만 들어 있는 거 보고 기분이 안 좋았습니다. 근데 먹어보니 더 들어 있었어도 안 먹었겠더군요. 어떻게 단무지까지 맛이 없을 수가 있죠? 오므라이스는 싸구려맛에다가 온통 기름맛밖에 안 나네요. 간도 어중간하고 몇 입 먹다가 다 버렸습니다. 최악의 오므라이스였습니다. 치킨볶음밥은 양파볶음밥으로 이름을 바꾸셔야겠습니다. 든 건 양파밖에 없는데 너무 느끼하고, 재주문 많다길래 주문한 건데 그냥 별로입니다. 그나마 제일 나았던 건 쫄면이었습니다. 다시는 이곳에서 주문하지 않을 것 같습니다.",1,5,3,3
깔끔하고 무난해요 ㅎ 분식집하면 떠오르는 그 맛,5,5,5,5
맛있게 잘먹었습니다.,5,5,5,5
무난한 맛 입니당..!,5,5,5,5
삼겹살 김밥이랑 쫄면은 또 사먹을만 합니다 치즈김밥은 양쪽 꼬다리엔 밥이 안들어가 있을만큼 대충 싸져 있었어요..,4,4,5,4
피자가 너무 맛있네요~ 다음에도 또 시켜 먹어야겠어요!,5,5,5,5
오늘 피자두 너무 맛있었어요💖 항상 감자반 할라반만 먹어봣는데 맥주랑 먹기에는 페페로니반 감자반이 짭짤하고 딱 좋은거같아요. 작은 변경사항때문에 전화문의도 드렸는데 전화받으신 직원분도 너무 친절하고..💕 피자두 맛있구 자주자주 시켜먹을게요 번창하세요💖🙇‍♀️,5,5,5,5
아이들이 먹고 싶다고해서 주문했네요. 피자만 시켜 먹었는데 이번엔 치킨도 있는 세트로 시켰어요. 항상 느끼는 거자만 토핑이 정말 아낌없이 올려져 있어요. 푸짐해서 넘 맛있어요. 치킨도 오븐에 구워서 느끼하지 않고 서비스로 주신 스파게티도 넘 맛있게 먹었습니다. 다음에 또 이용할께요~~,5,5,5,5
스파게티도맛있고 피자도 맛있어요. 크기도 커서 푸짐하니 만족스럽네요.,4,4,3,3
맛있었어요,5,5,5,5
처음시켜보는데 짱맛있어용 둘이서 진짜 배부르게 먹은듯 감사합니당 또 시켜먹을게요~~,5,5,5,5
맛있어요!! 이렇게 두꺼운 피자는 처음이었어요!! 많이 시켜먹을게용,5,5,5,5
사진을 깜빡하여 전 촬영분을 올립니다 ㅠ. 늘 빠르고 서비스까지 잘 챙겨주셔서 감사합니다,5,5,5,5
