review,taste,quantity,delivery,total
포장 뜯어져서 짜장이 콸콸콸,4,4,1,3
맛있게잘먹었습니다!,5,5,5,5
잘먹었습니다 ~~~~,5,5,5,5
잘 먹었습니다 ㅎㅎ,5,5,5,5
잘먹었습니다 잘먹었습니다,5,5,5,5
짜장면 맛집이에요♡ 새벽에 시켜먹기 좋음,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
일단 메뉴 구성은 좋았습니다. 짬짜면은 맛있는데 전반적으로 좀 짰어요. 하.. 탕수육 전날 튀긴거 다시튀겨 보내주셨네요. 냄새나고 질기고.. 정말 실망입니다..,3,5,5,4
배달도 빠르고 맛잇엇어요~!,5,5,5,5
맛있게 잘먹었습니다. 다음에 또 시켜 먹겠습니다. 감사합니다.,1,1,1,1
빠릅니다! 맛있습니다!,5,5,5,5
맛있게 잘 먹었습니다,4,4,4,4
배달도빠르고 맛있습니다,5,5,5,5
맛납니당점심잘먹었어요,5,5,5,5
맛있고 따뜻하게 잘 먹었습니다!,5,5,5,5
양많고 맛좋고 새벽까지 하는 집,5,5,5,5
맛있어요 다음에 또 시킬려구여 ㅎㅎ,5,5,5,5
짬뽕 국물 안주셨지만 잘 먹겠습니다,5,5,5,5
차돌짬뽕은 비싼만큼 양도많고 맛도 진하고 맛있어요,5,5,5,5
미쳤습니다. 진짜 자취생 필수 배달집 . 저희동내 친구들한테 다 소문 낼거에요 맛은 평균 이상 아니 중랑구 일등이고요 구성부터 가격 그리고 무엇보다 배달비가 없다는게 제일이네요 앞으로 중국집 다른데 쳐다도 안볼게요 좋은 음식 감사합니다 사장님,5,5,5,5
맛있게 잘먹었습니다.배달이 빨라서 좋아요.,5,5,5,5
넘 맛있게 먹었어요 콜라서비스도 잘 먹었습니다 ~~^^,5,5,5,5
최고의 맛 신속배달,5,5,5,5
맛있습니다!!!!!,5,5,5,5
맛있게 잘 먹었습니다 ~~~,5,5,5,5
양도 많고 맛도 훌륭합니다!! 여자친구가 뺏어먹었어요 ㅋ,5,5,5,5
중국집하면 생각나는 금용각 정말 맛있었습니다!,5,5,5,5
가성비 최고 맛있어요 !,5,5,5,5
탕수육 맛있어요!,4,5,5,4
양도 많고 맛있어요. 잘먹었습니다.,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
너무맛있게잘먹었습니다,5,5,5,5
소스가 많이 부족했어요,4,5,5,4
다른 정식이 더 난것같아요,4,4,5,4
잘먹었습니다~~~~~~,5,5,5,5
양도 많고 너무 맛있어요 . 같이 온 고구마맛탕도 맛있네요,5,5,5,5
이번에는 좀 맛이 달랐어요…! 베이스 국물이 달라졌는지… 마라 맛이 강했던 거 같아요ㅠ,5,5,5,5
신미방에서는 처음 주문해봤어요! 양도 많고 재료도 실하고 맛있게 잘 먹었습니다 리뷰에 맛탕이 맛있다고 해서 기대했는데 정말 맛있네요ㅎㅎ 배달도 예상시간보다 반이나 빠르게 왔습니다!,5,5,5,5
맛있고 양도 푸짐요!!!,5,5,5,5
맛있네요 잘먹었습니다,5,5,5,5
잘먹었습니다 감사합니다,5,5,5,5
양도 갠찮고 맛있어요!!!!,5,5,5,5
맛도 너무 맛있고 양도 많아서 진짜 배부르게 먹었어요!ㅎㅎ,5,5,3,4
신미방 마라탕은 울 아들 최애메뉴에요~ 양도 푸짐~ 오늘도 맛있게 잘 먹었답니다^^,5,5,5,5
공릉 마라탕 원탑이에요,5,5,5,5
마라탕은 신미방 공릉점에서만 먹어요 ^^,5,5,5,5
마라닭날개 처음 시켰는데 이것도 맛있네요!,5,5,5,5
어제 먹고 리뷰를 지금 남기네요ㅠㅠ 신미방에서는 마라샹궈를 처음 먹어봤는데 양도 많고 너무 맛있게 먹었어요ㅠㅜ,5,5,5,5
맛있어요!! 매일먹고싶은...,5,5,5,5
맛이 줘아용~~ 숙주 2번 추가도 옵션에 넣어주세요...😢,5,5,5,5
첨 시켜봤는데 넘 맛있어요! 잘 먹었습니다,5,5,5,5
두번째 주문입니당 지난번보다 양두많구 맛도진하고...애들과 자~알먹었어요~^^ 찜 해놔야겠어요~,5,5,5,5
아이들이 좋아해서 종종 주문해서 먹어요.. 배달도 빨리해주셨어요.. 덕분에 점심으로 맛나게 먹었어요,5,5,5,5
아이가 마라탕 좋아해서 첫 주문했어요~ 완전좋아하네요,5,5,5,5
마라탕 양도 많고 짱 맛있어용!! 근데 메추리알 주문했는데 없었는데 마라탕 먹으면서 알게된거라 그냥 먹었어요 ㅋㅋㅋ 사진이 이상하게 나왔지만 진짜 짱 맛있어요 !! 추천~!~!,5,5,5,5
마라탕은 여기서 늘 시킴. 맛있어요,5,5,5,5
